recipe_id,ingredient_id,amount,unit
155,110,240,g
155,73,200,g
155,108,800,g
155,29,120,g
155,30,6,g
155,109,1,g
155,32,2,g
155,33,2,g
155,124,15,ml
155,65,250,g
155,5,3,g
155,6,1.5,g
156,94,200,g
156,111,500,g
156,98,200,ml
156,29,80,g
156,30,6,g
156,124,10,ml
156,121,1,g
156,5,2,g
156,6,1,g
156,97,40,g
157,65,160,g
157,91,250,g
157,101,120,g
157,102,150,g
157,29,80,g
157,30,6,g
157,103,25,ml
157,1,2,szt
157,25,15,ml
157,105,10,g
157,5,1,g
157,6,0.5,g
158,114,150,g
158,83,250,g
158,85,80,g
158,47,60,g
158,67,20,g
158,124,15,ml
158,19,10,ml
158,5,1.5,g
158,6,0.5,g
159,107,250,g
159,108,800,g
159,99,1200,ml
159,29,120,g
159,30,6,g
159,120,2,g
159,98,100,ml
159,124,10,ml
159,109,0.5,g
159,5,3,g
159,6,1.5,g
160,95,200,g
160,100,300,g
160,46,100,g
160,30,6,g
160,124,15,ml
160,19,10,ml
160,120,1,g
160,5,2,g
160,6,1,g
161,130,250,g
161,91,300,g
161,37,120,g
161,98,200,ml
161,29,80,g
161,30,6,g
161,124,10,ml
161,97,30,g
161,5,2,g
161,6,1,g
162,92,350,g
162,31,200,g
162,122,250,g
162,29,120,g
162,30,6,g
162,108,400,g
162,33,2,g
162,120,1,g
162,124,15,ml
162,5,2,g
162,6,1,g
163,101,600,g
163,29,120,g
163,30,6,g
163,104,10,g
163,78,300,ml
163,99,800,ml
163,124,10,ml
163,5,3,g
163,6,1,g
164,128,180,g
164,91,300,g
164,100,300,g
164,101,120,g
164,29,80,g
164,30,6,g
164,103,30,ml
164,105,10,g
164,25,10,ml
164,5,1,g
164,6,0.5,g
165,129,150,g
165,110,240,g
165,31,150,g
165,122,200,g
165,29,80,g
165,46,80,g
165,124,15,ml
165,19,10,ml
165,119,2,g
165,5,1.5,g
165,6,0.5,g
166,126,500,g
166,108,400,g
166,117,20,g
166,63,150,g
166,29,80,g
166,30,6,g
166,124,15,ml
166,121,2,g
166,5,2,g
166,6,1,g
167,125,600,g
167,114,150,g
167,78,300,ml
167,29,80,g
167,30,6,g
167,104,10,g
167,52,2,g
167,109,0.5,g
167,124,15,ml
167,5,2,g
167,6,1,g
168,127,400,g
168,76,400,g
168,101,120,g
168,29,80,g
168,30,3,g
168,99,1200,ml
168,98,120,ml
168,44,5,g
168,124,10,ml
168,5,3,g
168,6,1,g
169,115,200,g
169,113,300,g
169,31,150,g
169,101,120,g
169,29,80,g
169,30,6,g
169,103,25,ml
169,104,10,g
169,25,10,ml
169,105,10,g
169,5,1,g
169,6,0.5,g
170,93,400,g
170,1,1,szt
170,24,40,g
170,29,80,g
170,76,600,g
170,123,300,g
170,22,80,g
170,19,10,ml
170,25,20,ml
170,5,3,g
170,6,1.5,g
171,91,350,g
171,111,500,g
171,110,240,g
171,29,80,g
171,30,6,g
171,119,2,g
171,33,2,g
171,124,15,ml
171,5,2,g
171,6,1,g
172,95,250,g
172,100,300,g
172,98,250,ml
172,36,120,g
172,29,80,g
172,30,6,g
172,124,10,ml
172,5,2,g
172,6,1,g
173,114,150,g
173,72,160,g
173,86,80,g
173,45,200,g
173,3,250,g
173,47,60,g
173,124,15,ml
173,19,10,ml
173,5,1.5,g
173,6,0.5,g
174,110,400,g
174,108,800,g
174,99,800,ml
174,29,120,g
174,30,6,g
174,32,2,g
174,33,2,g
174,124,15,ml
174,5,3,g
174,6,1,g
175,92,350,g
175,57,250,g
175,98,200,ml
175,29,80,g
175,30,6,g
175,61,120,g
175,124,15,ml
175,58,5,g
175,5,2,g
175,6,1,g
176,51,300,g
176,122,300,g
176,31,150,g
176,28,500,ml
176,29,80,g
176,30,6,g
176,65,160,g
176,33,2,g
176,124,15,ml
176,5,2,g
176,6,1,g
177,125,500,g
177,76,500,g
177,46,120,g
177,98,200,ml
177,29,80,g
177,30,6,g
177,124,10,ml
177,33,1,g
177,5,2,g
177,6,1,g
178,126,500,g
178,110,240,g
178,108,400,g
178,29,120,g
178,30,6,g
178,32,2,g
178,109,0.5,g
178,124,15,ml
178,5,2,g
178,6,1,g
179,91,300,g
179,127,300,g
179,101,120,g
179,29,80,g
179,30,6,g
179,103,30,ml
179,104,10,g
179,25,10,ml
179,105,10,g
179,5,1,g
179,6,0.5,g
180,111,600,g
180,107,200,g
180,29,120,g
180,30,6,g
180,99,1200,ml
180,98,120,ml
180,52,2,g
180,124,10,ml
180,5,3,g
180,6,1,g
181,82,200,g
181,76,600,g
181,45,200,g
181,11,150,g
181,44,5,g
181,19,5,ml
181,5,2,g
181,6,1,g
182,94,250,g
182,110,240,g
182,108,400,g
182,117,20,g
182,29,80,g
182,30,6,g
182,121,2,g
182,124,15,ml
182,5,2,g
182,6,1,g
183,114,150,g
183,31,200,g
183,122,250,g
183,101,150,g
183,85,80,g
183,124,20,ml
183,119,2,g
183,19,10,ml
183,5,2,g
183,6,1,g
184,76,800,g
184,70,150,g
184,57,250,g
184,29,120,g
184,98,250,ml
184,36,150,g
184,124,10,ml
184,5,3,g
184,6,1.5,g
185,92,300,g
185,130,250,g
185,108,400,g
185,117,20,g
185,29,80,g
185,30,6,g
185,120,1,g
185,124,15,ml
185,97,30,g
185,5,2,g
185,6,1,g
186,100,500,g
186,99,1200,ml
186,29,100,g
186,30,6,g
186,98,150,ml
186,36,80,g
186,17,4,plastry
186,2,15,g
186,124,10,ml
186,5,3,g
186,6,1,g
187,91,250,g
187,38,200,g
187,47,60,g
187,45,150,g
187,3,200,g
187,69,15,g
187,124,15,ml
187,19,10,ml
187,5,1.5,g
187,6,0.5,g
188,95,250,g
188,113,300,g
188,37,100,g
188,98,200,ml
188,29,80,g
188,30,6,g
188,124,10,ml
188,58,5,g
188,5,2,g
188,6,1,g
